Post date,Post time,Type,Link,Description,Length of video,Views,Shares,Likes,WOW,Hearts,LOL,Sad,Mad,Comments,From,# Comment,Date of comment,Time of Comment,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,Effective investment for more better life environment would be build for educative solution about moral as human being right now.,Yoshitaka Torii ,9,9-Jun,5:31 AM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,If we want to impulse a new and growth economy I need to impulse a new agents of the gobernment of U.S.A called Fbi; finance them please ?? based on the structures and classes planned since yet.  P.S. These are the cops of our new library and perhaps the better we will have ????,Xavier Ki Borde ,8,6-Jun,11:43 AM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,"IMF ???? ????? ? ??? ???????? ?????????? ?? ?? ??? ?????? ???? ??????IMF International Monetary Fund. The rules of international conventions are in accordance with the law. Follow the world organization. Is that right? So the Paris agreement. Or, if the agreement is, the funds are required to be regulated. Is that right?",Sky Lon,8,7-Jun,11:41 PM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,My advice to solve poverty issue is to eliminate/abolish all money currencies.,James H Hong,8,6-Jun,6:29 PM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,"Important read: It all began when I was hired as technical CIPCA - North (Riberalta) Bolivia CIPCA is secretly the most powerful NGO from Bolivia eight years ago I was a technician young unintelligent and innocent for that reason young sociologist I didn't behave in the street of the village (Riberalta) caring for its prestige and its image CIPCA decides to punish me sending me to the field every week to give but not to surrender I was still working by necessity , many trips had neither forces nor desire to clean my room all the time was dirty desperate to discredit me they put me the nickname of trash and began to smear me in all the people ordering to the people that put me in my place punishing me waking me calling me garbage every day and demoralizing me all this on the orders of the director Armengol Knight , Eufronio Toro and July most powerful technical Urapotina, Gina Taboada sociologist, Iván San Miguel, Asbel Navia, Teco Heidi agronomist and Calixto rooms always supported by Eufronio Bull cow; people I always punished with the excuse that I put in my place desperate exceed technicians professionally but not enough looking at me in an accident a powerful enemy of the CIPCA decided to discredit me at national level in all my country and NGOs in all Bolivia and through the order of the sociologist Gina Taboada , Iván San Miguel, Asbel Navia, Calixto Salas, Teco Heidi agronomist, Rosario Flores, Rafael Flores, Vania Chao, Melva administrator decided to punish me for all the days in the office to resign did not let even looking at their faces punishing me until I blind psychologically and always rejecting me women and if it were not enough came to my room all night while he slept to insult me. Subsequent to the end of my work I decided to resign and return to my city Cochabamba - Bolivia and recover but I was chased by CIPCA-North (Riberalta) on the orders of the Director Armengol Knight, Eufronio Bull cow, and the new director of CIPCA North (Riberalta) and the abusive July Urapotina and Ivan San Miguel, using maximum power in my city I desprestigiaron with everyone and I decry all over my city , returning to punish me for 7 years on the streets, returning to put me in my place calling me garbage with the same excuse people leave you respect me and CIPCA through the new Director and Julio Urapotina, Gina Taboada, Asbel Navia, Teco Heidi, and Eufronio Bull cow decided to advise my new NGO that I punish and disparages using, and my coworkers punishing me and discrediting me until you return to resign or be fired , once I returned to remove in my desperation I decided to hide in my House still men and women of Julio Urapotina, Asbel Navia, Gina Taboada, Rosario Flores, Vania Chao, Rafael Flores, Melva administrator, Iván San Miguel and Calixto halls supported by CIPCA - North, director, ordered that I wake up my neighbours waking me and insulting me every day for months always ordering men and women of Julio Urapotina , Iván San Miguel, Calixto Salas, Teco Heidi, Asbel Navia, Gina Taboada, Rosario Flores, Vania Chao, Melva administrator secretly put in my place everywhere in my city, then trying to find work in other NGOs constantly informing CIPCA, new director, sociologist Gina Taboada and Eufronio Bull cow which is the Chief secret of CIPCA was sort and use all NGOs where trying to work. For that I don't never hire in NGOs; CIPCA, Gina Taboada, my ex-Chief on orders from Julio Urapotina always sent messages to emails of the NGOs which sent my resume so I reject; in the end NGOs rejected me 3 years and I was without a job finally to the term 7 years ordered farewell to tell people that I was punished with the reason to give me a lesson in humility explaining Street the men and women of Julio Urapotina, Iván San Miguel, Calixto Teco Heidi, Asbel Navia, Gina Taboada, Rosario Flores , Vania Chao, Rafael Flores, Melva administrator and men and women of the CIPCA, as final punishment ordered using my own family to put me in my place punishing me using my own parents and siblings, relatives, family friends, neighbors in my house and acquaintances discrediting me all with the pretext put me in my place until the end of your last order was that everyone in Cochabamba - Bolivia forget of my forever. This is a true story and is not an invention but the just truth and injustice that I lived for 7 years my name is MAURICIO AVALOS ARAMAYO and am Bolivian SOCIOLOGIST.",Mauricio Avalos Aramayo,8,6-Jun,11:23 PM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,I love it..Thanks for sharing,Top Viral Fun,8,6-Jun,4:00 AM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,Agreed....,Mrityunjay MJ Sharma,8,6-Jun,12:23 AM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,Hmmmm,Maya Hatters,8,5-Jun,4:59 PM,,
5-Jun,2:40 PM,Share,Chart,World Environment Day is an occasion to consider why it’s so important to get energy prices right. The IMF has long argued that energy prices that reflect environmental costs can help governments achieve their goals not only for improving public health but also for inclusive growth and sound public finances.,,,24,85,2,1,1,,,"Most Americans have less than $1,000 in savings",James H Hong,8,6-Jun,6:28 PM,,
1-Jun,5:46 PM,Share,F&D,"Now available! The June issue of F&D explores the economic opportunities and challenges of millennials, a generation often described as determined, resourceful, and emphatically untraditional",,,0,45,2,,,,,"can anyone help me find and secure funding for my coffee project, cattle project, poultry mass production project and sheep project in Papua New Guinea??",Charles Kaitolo Warisi ,4,5-Jun,11:12 AM,,
1-Jun,5:46 PM,Share,F&D,"Now available! The June issue of F&D explores the economic opportunities and challenges of millennials, a generation often described as determined, resourceful, and emphatically untraditional",,,0,45,2,,,,,"From 1st of January 2030 nobody dies of hunger any more, right? Or is it 31.12.2030? Thx",Christian Hess,4,2-Jun,3:11 AM,,
1-Jun,5:46 PM,Share,F&D,"Now available! The June issue of F&D explores the economic opportunities and challenges of millennials, a generation often described as determined, resourceful, and emphatically untraditional",,,0,45,2,,,,,When gonna stop banks corruption in Tunisia? I am asking to meet IMF Management.,Sami Cherif,4,3-Jun,4:23 PM,,
1-Jun,5:46 PM,Share,F&D,"Now available! The June issue of F&D explores the economic opportunities and challenges of millennials, a generation often described as determined, resourceful, and emphatically untraditional",,,0,45,2,,,,,I need 1000 000 US dollars loan from u for a wonderful community memorial project.pls call me +234 70634 71021.Or write to me via elomclem@yahoo.com.I appreciate.,Elom Clement,4,4-Jun,1:53 PM,,
1-Jun,8:00 AM,Share,Article,"The implementation of Colombia’s peace agreement, together with the government’s structural reform agenda, should help support more inclusive growth over the medium term. Read our annual assessment of the Colombian economy:",,,3,48,1,,,,,"i have received a text of winning prize 100000$ with nissan car, they want me to pay 300$ for fedex delivery charges , i think its a scam ?",Saad Saleem,4,2-Jun,7:57 AM,,
1-Jun,8:00 AM,Share,Article,"The implementation of Colombia’s peace agreement, together with the government’s structural reform agenda, should help support more inclusive growth over the medium term. Read our annual assessment of the Colombian economy:",,,3,48,1,,,,,When gonna stop banks corruption in Tunisia? I am asking to meet IMF Management.,Sami Cherif,4,3-Jun,4:23 PM,,
1-Jun,8:00 AM,Share,Article,"The implementation of Colombia’s peace agreement, together with the government’s structural reform agenda, should help support more inclusive growth over the medium term. Read our annual assessment of the Colombian economy:",,,3,48,1,,,,,"i dont know about it , is their anyone who can guide",Saad Saleem,4,2-Jun,7:58 AM,,
1-Jun,8:00 AM,Share,Article,"The implementation of Colombia’s peace agreement, together with the government’s structural reform agenda, should help support more inclusive growth over the medium term. Read our annual assessment of the Colombian economy:",,,3,48,1,,,,,Hmmm,Maya Hatters,4,1-Jun,8:02 AM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,Yoshitaka Torii Effective economy growth for UK should be fused of traditional and new wave at movement and thinking for everything and also for others as basis mind.,Yoshitaka  Torii,8,31-May,4:29 AM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,When gonna stop banks corruption in Tunisia? I am asking to meet IMF Management.,Sami Cherif,8,3-Jun,4:23 PM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,"i received a text from international monetary fund , and they want me to claim my 100000$ prize with nissan car by giving them fedex shipping fee 300$... i am confused ! is it scam ? i need help",Saad Saleem,8,2-Jun,10:54 PM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,Maya Hatters Really,Maya Hatters,8,30-May,6:44 PM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,Eliminate/ Abolish currencies,James H Hong,8,30-May,8:09 PM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,Please guide me,Saad Saleem,8,2-Jun,10:55 PM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,Site de la CIPRES:www.lacipres.org Interafrican Conference on Social Welfare,Salim Miskaoui Salim,8,31-May,3:48 AM,,
30-May,6:38 PM,Share,Chart,What’s at stake in #Brexit talks for UK based financial firms? ,,,36,44,4,1,,,,I am from Bangladesh,Najmul Hosan Akash,8,30-May,7:08 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,Mongolia has come a long way since experiencing market economy constraints. I was there in the early 90s with an IMF team advising in introducing consumption taxes.,Jacques Baldet,16,30-May,5:08 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"""The idea that economic growth can continue forever on a finite planet is the unifying faith of industrial civilization. That it is nonsensical in the extreme, a deluded fantasy, doesn't appear to bother us. We hear the holy truth in the decrees of ele...See More",Rod Barker,16,26-May,5:28 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"We must checking material environment business and also supporting about networking, knowledge with financial section business for economy growth of each others.",Yoshitaka  Torii,16,26-May,4:38 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,The world shall meet economical catastrophe?if Japanese Abe government continue which does not any actrion to decrease huge finanncial deficit.,Ted Ishibashi,16,27-May,6:38 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"If you have been to Mongolia, none of these claims: to create strong, sustainable and inclusive growth are true. What you will face are wide-spread corruption in provincial and state governments",Dorj Baldan,16,27-May,5:22 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"???? ?????? We demand in the name of humanity to pay the debts owed by the contractors and the private sector companies that have been paying the Iraqi government for three years, knowing that the benefits affect the lives of poor people",???? ??????,16,25-May,8:50 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"Japanese financial deficit is huge,that IMF takes some action to Japan.",Ted Ishibashi,16,26-May,11:39 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"i received a text from international manatary funds, they want me to claim my prize 100000 $ and a car by giving them fedex shipping fee 300$ , is it scam ? i am confused, please help or suggest me what to do ! i am from pakistan",Saad Saleem,16,2-Jun,11:00 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,Due to working experience and major requirement most young people are unemployed.,James H Hong,16,29-May,12:45 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,Revolution for #1 No money and no prices in society. #2 Build parks with trees.,James H Hong,16,27-May,3:51 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"Population in developed countries are decreasing, so demand decrease while supply increase; equilibrium price drops, and people make no money as that price is below cost.",James H Hong,16,26-May,6:09 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,Stock Markets will collapse by now due to historically high.,James H Hong,16,29-May,9:59 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,Based on my Global Population Pie report Each X times Taiwan's population.- (Few) Markets nonexistent,James H Hong,16,26-May,11:18 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,I wish you'd release the bequest monies you hold. But,Maya Hatters,16,25-May,9:12 PM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,"For Avoiding Debts, Abolish Currencies.",James H Hong,16,29-May,8:54 AM,,
25-May,8:40 PM,Share,Chart,"How the IMF works with Mongolia to support the government's reforms to create strong, sustainable and inclusive growth.",,,55,123,2,1,,,,USA / America the 3rd or 4th largest country has only 12x Taiwan's population (23 millions),James H Hong,16,30-May,6:36 AM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,Revolution for #1 No money and no prices in society. #2 Build parks with trees. ????#1. ??????? #2 ??????,James H Hong,6,27-May,3:51 AM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,pollutant output?,Rod Barker,6,26-May,2:31 PM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,Hi President Lady FMI! Musicians work recompense!,Fabrício Feitosa de Sousa,6,23-May,6:19 PM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,Blue suitcase Lisbon,Ninguem Sonair,6,24-May,8:17 PM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,Hmmm,Maya Hatters,6,23-May,10:11 AM,,
23-May,8:55 AM,Share,Chart,Check out our latest Chart of the Week blog on how Central and Eastern Europe are closing the output gap,,,20,72,3,,,,,"Hello, Miss President of the International Monetary Fund, I have been requesting authorization for payment from us and from our musicians in various parts of the world. As we know from the science of piracy around the world, we are harmed by the piracy that surrounds the world, and we are requesting from the Monetary Fund An amount of 160 billion US dollars for the loss lost since people do not buy the CD and with the money collected and stolen they go to the show.",Fabrício Feitosa de Sousa,6,23-May,7:08 PM,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,"For more information on our capacity development work, follow IMF Capacity Development",International Monetary Fund,43,, · May 22 at 6:00pm,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,Hmmm the IMF. Another word for a controlled world monetary system from the rothchilds much like the federal reserve of the USA. They are the ones funding the wars around the world to get countries to adopt theyre slavery... oops I mean tax system. Also the private sector should create jobs not a government institution. Unfortunately ignorant people follow.,Phillip Memmott,43,, · June 2 at 9:13am,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1," Is the IMF working closely with the Nigerian government at all? If so, why do we continue to experience this high level of unemployment rate in Nigeria?

Secondly, how can IMF better advise a government to better strengthen and make efficient a country's tax administration?

I discover in Nigeria a lot of big shot companies don't play tax and in most cases, these companies are the ones executing government projects, my question is, how do they qualify or beat the bidding processes in the first place?",Umar Omar Sheidu,43,, · Reply · June 5 at 1:22pm,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,"when our biosphere collapses from continued degradation, what good will more jobs be then? We need to think of ways to reduce our footprint, reduce production and restore and protect our environment, otherwise there will be no economy.",Rod Barker,43,, · Reply · June 3 at 9:50pm · Edited,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1," IMF please help Liberians get investments. The 10% who are tax payers are the businesses and those employed. So with no jobs, how do they pay taxes?",Liberia Human Rights Chapter,43,, · June 4 at 2:59am,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,We don't benefit nothing here in (Liberia) videos only measure us. But our lives don't show any signs of progress because there's no progress. Your friend ( Sirleaf Johnson) only satisfies your interest. Young people are nothing when it comes to development. President and her sons are multi millionaires.,Wilson Caryahway,43,, · Reply · June 4 at 5:47pm,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,Shouldn't the IMF be more concerned abt how the little that is even paid is not properly managed rather pushing for more ppl to pay more tax that is being misappropriated by authorities,Sedem Kudiabor,43,, · June 2 at 2:34am,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,Oh Say It Again..smh..the poor pays more and the rich pays Less..the little one Payed by the poor is still looted by the so called leaders,Sogbey Mawuli Bryte Kekeli ,43,, · June 3 at 3:44am,,
22-May,5:45 PM,Video,,Imagine a country of 20 million people; but only 10% pay taxes. How does the government provide roads and hospitals to its people? The IMF works with governments around the world to modernize their economic policies and institutions. This helps countries strengthen their economy and create more jobs.,,,270,1400,32,39,5,2,1,"Now financial slavery is the next move.
I don't blame some of this systems. I only blame our lazy leaders. They will fall for anything to look rich. 
I hope you check the debt to GDP ratio of the countries you that keep creeping on your so called support. 
Let us get serious here. Using my country as an example, Ghana a West African country, is one of the countries for which our leaders finds it very convince to fall for your creepy deal. I can assure you that we are getting broke by day. We may look beautiful from far but a closer look at our economy leaves much to be worried about.
I do pity our Youth and generation to come. Should our leaders continue selling our country out to you, they will leave nothing behind for any better future.
I am ashamed with the way our Government wouldn't hesitate in signing deals every now and then yet we keep getting poorer and poorer.
Indeed, if IMF is here to help, let us feel it.
We have very good institutions that are weak; help strengthen them.
We have lot of resources that are not fully harnessed; help us utilize them.
We have wars and diseases to handle. Please take your planned war and disease out.
We have lots of debts to settle you, pleas do not add us more.
We have lots of mismanagement in our system, advice our leaders to be extra caring for the followers.
To our leaders, we can not continue to in this direction. It is high time you say no or have us not behind you.
The Youth are beginning to understand what's going on. 
We must be able to live beyond AIDS, GRANDS, BOUNDS and RELIEFS.
If a fairer world is your wish, IMF, please redirect your support to education. Give us education.
Education, one of which we can, stand up for our rights. 
An education that will give us the ability to utilize of natural resources to derive maximum benefit.
A kinda, education that will empower us not enslave us to Debt.
You either educate us now or know that you are not helping us in anyway.
Thank you",Prince Lat,43,, · June 5 at 2:15am,,
